country_name,country_border_name
United Arab Emirates,Oman
United Arab Emirates,Saudi Arabia
Afghanistan,China
Afghanistan,Iran
Afghanistan,Pakistan
Afghanistan,Tajikistan
Afghanistan,Turkmenistan
Afghanistan,Uzbekistan
Albania,Greece
Albania,Montenegro
Albania,Macedonia
Albania,Serbia
Armenia,Azerbaijan
Armenia,Georgia
Armenia,Iran
Armenia,Turkey
Angola,Congo
Angola,Congo
Angola,Namibia
Angola,Zambia
Argentina,Bolivia (Plurinational State Of)
Argentina,Brazil
Argentina,Chile
Argentina,Paraguay
Argentina,Uruguay
Austria,Czech Republic
Austria,Germany
Austria,Hungary
Austria,Italy
Austria,Liechtenstein
Austria,Slovakia
Austria,Slovenia
Austria,Switzerland
Azerbaijan,Armenia
Azerbaijan,Georgia
Azerbaijan,Iran
Azerbaijan,Russian Federation
Azerbaijan,Turkey
Bosnia and Herzegovina,Croatia
Bosnia and Herzegovina,Montenegro
Bosnia and Herzegovina,Serbia
Bangladesh,India
Bangladesh,Myanmar
Belgium,France
Belgium,Germany
Belgium,Luxembourg
Belgium,Netherlands
Burkina Faso,Benin
Burkina Faso,Cote d’Ivoire
Burkina Faso,Ghana
Burkina Faso,Mali
Burkina Faso,Niger
Burkina Faso,Togo
Bulgaria,Greece
Bulgaria,Macedonia
Bulgaria,Romania
Bulgaria,Serbia
Bulgaria,Turkey
Burundi,Congo
Burundi,Rwanda
Burundi,Tanzania
Benin,Burkina Faso
Benin,Niger
Benin,Nigeria
Benin,Togo
Brunei Darussalam,Malaysia
Bolivia (Plurinational State Of),Argentina
Bolivia (Plurinational State Of),Brazil
Bolivia (Plurinational State Of),Chile
Bolivia (Plurinational State Of),Paraguay
Bolivia (Plurinational State Of),Peru
Brazil,Argentina
Brazil,Bolivia (Plurinational State Of)
Brazil,Colombia
Brazil,French Guiana
Brazil,Guyana
Brazil,Paraguay
Brazil,Peru
Brazil,Suriname
Brazil,Uruguay
Brazil,Venezuela
Bhutan,China
Bhutan,India
Botswana,Namibia
Botswana,South Africa
Botswana,Zambia
Botswana,Zimbabwe
Belarus,Latvia
Belarus,Lithuania
Belarus,Poland
Belarus,Russian Federation
Belarus,Ukraine
Belize,Guatemala
Belize,Mexico
Canada,United States
Congo,Angola
Congo,Burundi
Congo,Central African Republic
Congo,Congo
Congo,Rwanda
Congo,South Sudan
Congo,Tanzania
Congo,Uganda
Congo,Zambia
Central African Republic,Cameroon
Central African Republic,Chad
Central African Republic,Congo
Central African Republic,Congo
Central African Republic,South Sudan
Central African Republic,Sudan
Congo,Angola
Congo,Cameroon
Congo,Central African Republic
Congo,Congo
Congo,Gabon
Switzerland,Austria
Switzerland,France
Switzerland,Germany
Switzerland,Italy
Switzerland,Liechtenstein
Cote d’Ivoire,Burkina Faso
Cote d’Ivoire,Ghana
Cote d’Ivoire,Guinea
Cote d’Ivoire,Liberia
Cote d’Ivoire,Mali
Chile,Argentina
Chile,Bolivia (Plurinational State Of)
Chile,Peru
Cameroon,Central African Republic
Cameroon,Chad
Cameroon,Congo
Cameroon,Equatorial Guinea
Cameroon,Gabon
Cameroon,Nigeria
China,Afghanistan
China,Bhutan
China,Hong Kong
China,India
China,Kazakhstan
China,North Korea
China,Kyrgyzstan
China,Laos
China,Macao
China,Mongolia
China,Myanmar
China,Nepal
China,Pakistan
China,Russian Federation
China,Tajikistan
China,Viet Nam
Colombia,Brazil
Colombia,Ecuador
Colombia,Panama
Colombia,Peru
Colombia,Venezuela
Costa Rica,Nicaragua
Costa Rica,Panama
Czech Republic,Austria
Czech Republic,Germany
Czech Republic,Poland
Czech Republic,Slovakia
Germany,Austria
Germany,Belgium
Germany,Czech Republic
Germany,Denmark
Germany,France
Germany,Luxembourg
Germany,Netherlands
Germany,Poland
Germany,Switzerland
Djibouti,Eritrea
Djibouti,Ethiopia
Djibouti,Somalia
Denmark,Germany
Dominican Republic,Haiti
Algeria,Libya
Algeria,Mali
Algeria,Mauritania
Algeria,Morocco
Algeria,Niger
Algeria,Tunisia
Algeria,Western Sahara
Ecuador,Colombia
Ecuador,Peru
Estonia,Latvia
Estonia,Russian Federation
Egypt,Israel
Egypt,Libya
Egypt,"Palestine, State of"
Egypt,Sudan
Western Sahara,Algeria
Western Sahara,Mauritania
Western Sahara,Morocco
Eritrea,Djibouti
Eritrea,Ethiopia
Eritrea,Sudan
